toGIG,toDRG,fpocket_pos,fpocket_dist
2.9113140064380323,0.5114440718684369,9,5.66
2.9907292890562425,0.4166002474592712,9,4.99
3.032364107432801,0.5746300799929872,9,5.59
2.954699524358625,0.3959417855122699,9,4.87
3.0162766416997133,0.5710923591503542,9,5.14
2.906655146930374,0.47703831010259223,9,5.19
3.0103303849207945,0.5068318488896122,9,4.83
2.9234179275641354,0.48413346260556167,9,4.89
2.838537540764466,0.48750809111041715,9,5.01
2.978738314628471,0.4991072995993208,9,4.88
2.8221916212468945,0.44091807971801406,9,4.75
2.907346051490365,0.5536093964890133,9,4.95
2.9690027744698604,0.5739765174664174,9,5.5
2.8802990098817767,0.6140050752951832,9,4.65
2.7311066153396752,0.5796025976861302,9,4.58
3.0150669411993665,0.721754122331408,9,5.01
2.9502326583258296,0.6540636889001384,9,5.3
2.7788058270771,0.5327849554863231,9,4.54
2.885808599521643,0.6187129198029263,9,5.19
2.907258713802961,0.6451818408351477,9,5.18
2.8851947395306006,0.5463816786101959,9,4.86
2.859786673718643,0.8061119066028065,9,4.78
2.821427531578138,0.6615448621594396,9,4.92
2.7670645018728717,0.8455018535159027,9,5.08
2.8364239414182637,0.7079566914925589,9,5.29
2.791252773331912,0.7825401000246833,9,4.62
2.8899449399460573,0.676552428947369,9,4.81
2.838280874269493,0.6278939245937248,9,5.01
2.8161106333014874,0.5282543712970131,9,4.77
2.7478454071010434,0.6773635325611144,9,4.66
2.925845693914928,0.788159719622657,9,4.72
2.7249426631348608,0.557665488937578,9,5.04
2.7017288298306483,0.7066521335607252,9,4.93
2.7361464791770937,0.6076974229067729,9,4.79
2.7515236695071947,0.6780920512535434,9,4.87
2.8859504967677525,0.7469714169743239,9,4.84
2.8260462750051554,0.6884539051028024,9,4.67
2.993379932108261,0.7849390757688267,9,4.64
2.9656089514944233,0.73869934002884,9,4.68
2.8352535602763504,0.7197339860756891,9,4.61
2.8685647363203706,0.8044046933207049,9,4.77
2.8450025053326833,0.7923370361372573,9,4.81
2.8244287363652143,0.8629633275744986,9,4.54
2.8825085807089503,0.6893239362884601,9,4.84
2.910287746319935,0.7792280305610644,9,4.62
2.9147609512833146,0.6270896579082404,9,5.33
2.933582490972709,0.8717266257847754,9,4.46
2.983873730229929,0.8118720935452709,9,4.84
2.908053357725355,0.8253278161865407,9,4.77
2.932485546364463,0.6032205317945168,9,4.66
2.9276523537079973,0.7305772232512684,9,4.51
3.074743589085913,1.0228964119642856,9,4.89
2.9610619364814696,0.7046344993993794,9,4.48
2.7329796512924474,0.7991798113827872,9,4.72
2.8674097850415907,0.9411143562259187,9,4.22
2.815005176710572,0.6947338816982006,9,4.88
2.7642388730401564,0.7508354837629704,9,4.93
2.7846334454884314,0.6314314929679101,9,5.14
2.9164311278192483,0.8006367901718837,9,4.59
2.7616973266669023,0.6320576970557652,9,4.64
3.0661138470342317,0.7251811317254973,9,4.88
3.0103325004212698,0.7638738321679216,9,4.6
3.0355746035929596,0.5720612746543247,9,4.95
2.9247555913629797,0.6937694015861487,9,4.88
3.0551353880410854,0.7326684994451074,9,4.93
3.0535962630808955,0.8222574221347402,9,4.66
3.0142758480706617,0.8030437546753965,9,4.44
3.016485454225796,0.8028878794518571,9,4.73
3.0076541283380087,0.5953348373179983,9,5.34
3.0768357577659597,0.8307628454974516,9,5.41
2.8787211517201214,0.7198955893792769,9,5.25
3.032631691968856,0.7326850550684862,9,5.15
3.0651778660177613,0.8208542317038307,9,5.01
2.799122933379212,0.8625802890977714,9,5.41
2.8455002790554165,0.8671355983731539,9,5.79
2.7708567284765055,0.8460927463172377,9,4.88
2.7911632044200276,0.7290604957524909,9,4.71
2.9134693058793326,0.7787740676608131,9,4.88
2.9621911365856346,0.8210193876825396,9,4.72
2.7979139585046995,0.7458205361963103,9,4.68
2.8544508180357373,0.7204110084879208,9,4.81
2.883449630059606,0.7326804442560221,9,5.11
2.996608884317246,0.8255897037592904,9,4.74
2.7668531917561547,0.713326584497737,9,5.46
2.9276808134064765,0.9263859503046585,9,5.02
2.9830143042842594,0.7744728094037844,9,4.86
2.839024777089909,0.7303347411084044,9,4.73
3.0181537490085217,0.7905865410965387,9,4.86
2.8368950772413153,0.6275402589875927,9,4.96
2.9624070519325927,0.7162452314002834,9,4.75
2.8222050571105726,0.7348518719639626,9,4.99
2.989493498557676,0.8308736747115912,9,4.82
2.9688480114046536,0.8314967466552452,9,5.03
2.8806629586157326,0.7665603328785651,9,5.54
2.978772541666156,0.9233305194493959,9,5.3
3.01898335134823,0.9694384640044967,9,5.53
3.0300369010403867,0.8551847598464514,9,5.19
2.9243707494716777,0.6998992483794977,9,5.03
2.9997162487102362,0.8704108961343408,9,5.38
2.9666335888585587,0.825859848789874,9,4.72
2.9111761418916657,0.7848648547000141,9,4.51
3.0067135425791145,0.7567991020672661,9,4.65
2.839187210859437,0.8303651597247298,9,4.97
3.0085503719414013,0.7682499187624212,9,4.81
2.874804485111318,0.6427890835530959,9,4.65
3.077532860579058,0.7735098769570646,9,4.83
2.9583840934872603,0.8125021704040084,9,4.98
2.936981737263317,0.740860016716007,9,5.22
2.770649289503477,0.6821106853403881,9,4.64
2.972241702142829,0.7606505006118647,9,4.66
2.8097277161367855,0.7842661780294585,9,4.94
2.791735997552725,0.7665478961162037,9,4.82
3.0243144754556033,0.8213864925079569,9,4.64
3.061731549542053,0.7768342362899957,9,4.5
2.940997605989909,0.8621029073743947,9,4.77
2.9570547879432336,0.8446590859851103,9,4.52
3.0738487134157535,0.8080753017377446,9,4.68
3.0672076116256957,0.7558870185906986,9,5.15
3.129253123150067,0.830323872210078,9,5.37
2.995690859748247,0.9609151125799525,9,5.19
2.942497937358948,0.9034314364651342,9,4.54
3.0838078293177817,1.056365701597011,9,4.77
2.9726745100728427,1.0422569563506874,9,4.78
3.0866469064141158,1.1806483944931834,9,4.66
2.9518845525222464,1.0740886054522765,9,4.47
2.953613653494943,0.9256715011222758,9,4.68
2.8949229709426305,0.8163911320923393,9,4.83
3.018824852521114,0.9953935023984335,9,4.59
3.093128390865782,1.0746155402031745,9,5.22
2.8986701970469517,0.9005692089767889,9,5.12
3.05362613734837,1.0023786226985327,9,5.12
3.093188498318648,0.9075379888196269,9,5.2
2.960189805427183,0.9119403625488556,9,4.67
2.9540358951278916,0.8096250843300713,9,4.82
2.962888172029369,0.8480387926808233,9,4.99
2.7215322883742417,0.8346042549046553,9,5.34
2.8613695019610046,0.8625925057124987,9,5.17
2.9256459660594065,0.9525059342203137,9,5.61
3.0082389057423997,0.930703839991505,9,5.65
2.848543248830425,0.6907679845161573,9,4.83
3.001830556881735,0.9377233910766021,9,5.12
2.9731219879658553,0.8655182454565427,9,4.76
2.85725386870915,0.6589551875153514,9,4.94
3.0441029220745297,0.9438828899732817,9,5.05
2.942817364225934,0.834643712709277,9,4.74
2.8476542380452963,0.7256930754667955,9,5.25
2.898882001649585,0.844895770130353,9,5.38
2.993082477365431,0.8259714548136273,9,5.17
2.946047653668585,0.8446748496385073,9,4.85
2.8569220186667628,0.7006848067111385,9,4.99
3.005324238797712,0.8084477177979692,9,5.1
2.9278918307228556,0.6893683975608546,9,4.8
2.9313077641259135,0.9127858085751562,9,4.79
3.0537248669077597,0.8965762173162288,9,5.13
2.9878725653457328,0.879055393983547,9,4.84
2.848129915472836,0.7570832235054431,9,4.85
2.961643601568449,0.9846327979347812,9,5.03
2.859688701577272,0.8400737484321436,9,5.17
2.8298076992307717,0.993753894463721,9,4.34
2.9011447685189196,1.031437812305859,9,4.61
2.8889451042715564,0.7970794652157506,9,5.0
2.9861472028691454,1.0267741145168676,9,4.69
2.853706090997732,0.9339843640085421,9,4.58
2.9529493646732057,0.9034986356723523,9,4.84
3.0481453109260768,0.9416518507905759,9,4.94
2.950904808237787,0.736906469933515,9,5.0
2.99894541876125,0.8197272720679467,9,4.91
2.886910812521225,0.9235654510828607,9,4.46
3.111913836721106,1.0763193583257373,9,4.99
3.0286981357897993,0.8615122290815139,9,4.69
2.9795989586516693,0.9655943452673834,9,4.76
3.207677686271464,1.209018360256991,9,4.73
3.0493524284983917,0.8763815508950213,9,4.87
3.1408884671885264,1.151125809790157,9,4.89
3.046334166760382,1.249198894842735,9,5.16
3.127109737589614,1.2936383988106652,9,5.2
3.0704870680117726,1.3223446448896496,9,5.51
2.985244682814738,0.9677028023545651,9,5.24
2.892777815288362,0.9232329440968607,9,5.14
2.881172717526773,0.8260385049383517,9,5.43
2.8787355595502007,1.1007664793358463,9,4.84
2.854993904319589,0.9565026976135325,9,5.25
2.9605672158999012,1.0765736859131145,9,4.61
2.8353989213991277,0.8889053088297123,9,5.05
2.838427702654224,0.9604655129056235,9,4.93
3.043039737198354,1.1619681694831259,9,4.93
2.9996312110137997,0.928834913505287,9,4.99
3.0348542636093856,0.8755423591823167,9,5.0
2.8313546167324066,0.7793542653924797,9,4.8
2.873274667574838,0.6890952312542482,9,5.34
2.9604896062441,0.8741622852774196,9,5.25
2.924855612222429,0.9210156469673216,9,4.41
3.0127556791334125,0.9404520272846273,9,4.42
3.075662136898118,1.1493948650314731,9,4.38
2.901533321908167,0.9500790666139416,9,4.68
3.07533733903839,1.0387088140928016,9,4.31
3.076085470150569,1.089140469015001,9,4.59
2.9415668548249574,0.9801808652990532,9,4.32
3.0188456474171046,1.0311898151889192,9,4.57
3.083333297611901,0.9835027598294459,9,4.68
3.023328670704651,0.9763727260337587,9,4.86
3.0965434493155812,1.081194885061082,9,4.65
3.0844569514595563,1.0714979547121646,9,4.5
3.0195983319214164,1.036359372636666,9,4.34
2.909703942921006,0.8828681073087421,9,4.47
3.019179566621192,0.9553970289584869,9,4.53
3.002063950971617,0.9824707609629972,9,4.99
3.06516797760948,0.9898424485534336,9,5.07
3.1394371398106573,1.031285475802559,9,4.72
2.9831912907413143,0.9187077287072539,9,4.52
3.0820282641106798,1.1638201739419156,9,4.79
3.1036594990725876,0.9985023823604863,9,5.11
2.9896835518651486,0.9175311005246677,9,4.73
2.8766145076511007,0.9089647413291914,9,4.45
3.203374470580633,1.0280638426508182,9,4.87
2.995488262198283,1.0149288757234458,9,4.82
3.0078472277249224,0.9079619463140699,9,4.68
2.9314661116816394,0.8655140839695283,9,4.74
3.0101414222093443,1.108571924401545,9,4.69
3.00735414031945,0.9014202602507165,9,4.78
2.8615116844987796,0.999877691113462,9,5.19
3.0160550622019335,1.1050840856698498,9,5.01
2.9670601713607425,0.9241792482182515,9,4.97
3.045490108292219,0.9795974279668191,9,5.1
2.9668633576948236,1.016486306016806,9,4.78
3.1151466697602777,1.1950373522938191,9,4.76
2.9938331565004384,1.0427352066403957,9,4.88
3.1377220622706723,1.2335364351542573,9,5.22
2.924364029232859,0.9964090281335144,9,5.14
2.8685141841429207,0.8303928434406481,9,5.08
2.9746759180627,1.0081882286595654,9,5.17
3.1108904242528914,1.1953446309514473,9,5.09
3.044433378463588,1.0921747778400055,9,5.01
2.8900493471668898,0.8647698603743135,9,5.15
2.8279592950412575,0.9217613252235339,9,5.05
2.986795616318178,1.0549407612440993,9,4.67
2.875513315084858,1.062235027284846,9,4.69
2.8956237584928157,0.9012985709345258,9,4.5
3.066586659106257,1.0512240935481596,9,4.75
3.058658896285659,1.080209277372392,9,4.63
3.042576386933799,0.8946748401304231,9,4.94
3.149083500780391,1.0710516191202113,9,4.68
2.9635008931983626,0.7624403072349422,9,4.65
2.964678385588543,0.8682389408106241,9,4.81
2.907884252660043,0.842316892122617,9,4.51
3.052109547343538,1.0573822769682386,9,4.26
3.0772319769763192,0.9985288257920377,9,4.49
2.9155427092498787,0.8343517455407895,9,4.78
3.1094803145593093,0.8861920748198205,9,4.68
3.0164273897209184,0.8546987157348944,9,4.41
2.8721477914441844,0.8439771401334024,9,4.44
3.063930079312748,1.0286746363686652,9,4.12
3.004492408387443,0.9705990264997033,9,4.94
3.212217373307007,1.0213106872470916,9,4.76
3.001125742931251,0.9513464898745886,9,4.73
3.081964586141746,1.0890882887066848,9,5.72
2.9936503386181355,0.8988519061184692,9,5.25
3.0033410940701253,0.9370227727062965,9,5.07
3.0544481368492384,0.9794972265398705,9,4.93
2.950420601078333,0.9427885764682978,9,5.03
3.0064267179142425,1.0145095957210142,9,4.9
2.874253790797327,1.1060458182122983,9,4.72
2.7961712055463925,0.9060709701058364,9,4.99
2.956080153750539,0.7556973908353344,9,4.79
2.8656332003542575,0.6731702075376637,9,5.0
2.824612552826324,0.6548386189557611,9,4.64
2.892743271759638,0.6977267001126912,9,4.76
2.800780236461971,0.7443766008025906,9,4.78
2.7849137317633392,0.835473756962349,9,4.98
2.969360388748486,0.7905456637998269,9,4.88
3.0412183689577845,0.9054718517017608,9,5.07
2.858966323608207,0.9369615753374616,9,4.83
2.798560371378969,0.7573850379463044,9,4.65
2.828677758803677,0.8885438167143034,9,4.5
2.8640033248711014,0.964019704933835,9,5.19
2.6529261915039237,0.8993651742011425,9,4.9
2.78271032840161,0.8239537776775885,9,5.04
2.8098490953247683,0.8777073399502253,9,4.95
2.8292844358342135,0.8544888707024818,9,5.06
2.8060176127472767,0.8891982027597611,9,4.46
2.822249784042235,0.9514176635116298,9,4.81
2.7871370140732847,0.9772447764053518,9,4.85
2.9606128572613577,0.9061973445330271,9,4.62
2.7954100350019444,0.9398447632903458,9,5.03
2.9141969754810417,0.9825353848479846,9,5.02
3.06587947173848,0.9494280127160317,9,4.88
2.8687579004913424,0.835799858411776,9,4.78
3.1144458064293734,0.9282376997724611,9,4.92
2.9682801547577253,1.0111864636750798,9,4.76
2.886510993968109,0.7960922607011026,9,4.85
3.069360316505647,1.0358508060152194,9,5.06
2.9692253156358293,0.8554383874300774,9,4.74
2.868999601549828,0.7489311159370676,9,4.89
2.9557091225948637,0.7887706258160203,9,4.66
2.9926940615367257,1.0951058695284543,9,4.57
3.0485538209820398,1.0902037459218168,9,4.56
2.9590925264651338,0.7351596475250783,9,4.92
2.8234925557839468,0.6951516490741912,9,4.82
2.903718968964827,0.8734969456730868,9,4.68
2.850844573636535,0.67017899113868,9,5.26
2.9202563209770664,0.7477471974781836,9,5.32
2.9013648828642937,0.792767071150333,9,5.12
2.90335488977322,0.8378176410168677,9,5.27
2.794017072018234,0.9065465115360027,9,5.08
2.975321499247493,0.6349566298347935,9,4.95
2.9174438793600093,0.7534074840840863,9,4.97
2.9691198229913027,0.8177159819078789,9,4.44
2.838633907924936,0.8081705043808229,9,4.53
2.9412704676421444,0.9769586786900939,9,4.56
2.977019311864348,0.9490621658367657,9,5.08
2.943614662909046,0.8385570916502729,9,5.19
2.7683396447692727,0.8426696445629012,9,5.16
2.9239627260393273,0.8542492134078963,9,5.08
2.8709709811408395,0.7017415732936974,9,5.36
2.966529440764403,0.944915453861567,9,5.83
3.0055418390002107,0.643149966291958,9,5.23
2.851300034765169,0.7732632494609978,9,5.23
3.121869460781649,1.015286568196187,9,5.4
3.0747761713136024,0.8676834484847318,9,4.65
2.977736541265947,0.911724567119659,9,4.76
2.9358553271286083,0.991961675602085,9,4.65
3.0757229336983705,0.9847321929174485,9,4.64
3.0374596055366654,0.9487494068536808,9,4.37
2.9197033693516934,0.7446852227130262,9,4.97
2.962511004984379,0.9375464056711026,9,4.47
2.9040777895589778,0.8900339294464924,9,4.83
2.9943240532858897,1.0715394999650918,9,5.6
2.9762977628058005,1.0945248909738843,9,5.43
3.0165636056465512,1.1095463509956482,9,4.74
2.921202048609435,0.8882077315741748,9,4.79
2.843485550715245,0.9373380864164442,9,4.64
2.8151484578902304,0.739830213911576,9,4.89
2.9369442261224528,0.8905749981785127,9,4.73
2.976925460410163,0.7801002381051885,9,4.81
3.0880680479472353,0.9637329367997818,9,4.84
2.8644745688508544,0.8547164456346146,9,5.09
2.9531266036153734,0.7831965288653215,9,4.84
3.0533827796598225,0.8578446806128737,9,4.8
2.944153784138347,0.7160623292386826,9,4.78
3.0148598098392423,0.8634521956429428,9,5.06
3.0017652219677724,0.937003895968354,9,5.08
2.987825293626618,0.8397706502530353,9,4.76
2.995611252362905,0.9765664365155127,9,5.04
3.0104304587130577,0.9787864741755999,9,5.02
2.9628049767084605,0.7169596820055303,9,5.04
3.039663762457512,0.9917443156680916,9,4.81
2.9139186442145655,0.9165332919651245,9,4.61
3.048246525503141,0.9041224251851085,9,4.65
2.801064524070202,0.8022519234842556,9,4.85
2.910509639461023,0.7865488438295942,9,4.55
2.8225803394913336,0.8630139271074394,9,4.73
2.8840785647609706,0.8415742888326563,9,4.63
2.9358306193251504,0.7382270381215933,9,5.26
2.8952843153602053,0.8280154978833443,9,4.92
2.970714272210101,0.6747773359362873,9,5.0
2.9179804516592927,0.776311594085876,9,4.85
2.8548281589047013,0.7868045083451215,9,4.49
3.047081948849146,0.8413020378137881,9,4.66
3.0583434645222956,0.8391775669525604,9,5.37
2.842852277355285,0.7982736513769603,9,5.35
3.0749214155599787,0.8944336450417089,9,4.89
2.943972479401276,0.7612240316986367,9,4.88
2.882753929471077,0.8284888949341533,9,4.86
2.92111726325782,0.9266929367112592,9,4.68
2.981676820311425,0.7920706713872859,9,4.92
2.9555882515240053,0.711722848913817,9,4.42
3.0742588531041606,0.8120788093624866,9,4.74
2.9761308602987633,0.689623571847794,9,4.98
2.8903387365266378,0.7969418090184786,9,4.64
2.9750889399569056,0.8355307158646459,9,4.71
3.054674696454264,0.8978890948759654,9,4.28
2.9278783136151274,0.9376627250900955,9,4.72
3.002878204303213,0.9690062326506471,9,4.87
2.945603475634404,0.9991603142761751,9,4.35
2.8905108100043955,0.9257818716027052,9,4.58
2.8960307096476514,0.9226077148799622,9,4.58
3.055462058702476,1.0060769530804057,9,4.59
3.005194288110274,1.0476685108716346,9,4.59
2.9324261853495854,0.9393349615695552,9,5.07
3.076256080838852,0.9001140358987691,9,4.83
2.80934005678424,0.992654243187253,9,4.93
2.90267707551112,0.8120352374866067,9,5.05
2.9021730263258454,0.8909768950638358,9,4.98
2.8813183951726264,0.7730500343581356,9,5.13
2.897708236183887,0.800954906006534,9,4.55
3.003606757239186,0.9233269144079118,9,4.72
3.1456763510518377,1.057196619710229,9,4.9
2.92452026797597,0.9101401410155276,9,4.75
2.893865277674882,0.7257449052513459,9,4.69
2.842498239562839,0.8966729275825326,9,4.46
2.9419762110618177,0.8150823068051655,9,4.64
2.8363983021117085,0.8266650788724672,9,4.68
2.958481231779211,0.9572265093599167,9,5.57
3.018800228933631,0.9660922892180361,9,5.06
2.8063659929614317,0.7871134092612031,9,4.87
2.997451269743753,0.7474782330319645,9,5.07
2.7659490741270787,0.854123649208721,9,4.56
3.036522160330135,0.8620438532378837,9,5.17
2.9180286152584,0.7137740990355669,9,4.67
2.78943974348857,0.9081497730410604,9,4.6
2.8416165308342234,0.8298192919951544,9,4.85
2.8167132172349705,0.6753498330001217,9,4.85
2.957399046317295,0.8904641890974151,9,5.0
2.6673598624675208,0.7592666985688392,9,5.07
2.8697469492988037,0.7713492285188601,9,4.74
2.7117039130863043,0.910738747263849,9,5.02
2.802675771231133,0.949349503954196,9,5.08
3.056716237872074,1.1205268962892376,9,5.07
2.9881514175666233,0.9269374458684804,9,5.14
2.9210420758672795,0.9903028063441092,9,4.55
2.9166097087132523,0.8940276902560749,9,4.79
2.944397912668433,0.8155606502788993,9,4.9
2.8528118023352342,0.7258370150542097,9,5.17
2.931267667577032,0.7522505181411688,9,5.35
3.1140961551285375,0.836540391508578,9,4.8
3.007600236798736,0.8897963206112514,9,4.61
2.9139936559875954,0.6921152561300078,9,4.93
3.1018675692343525,0.8513278631132728,9,5.42
3.202209547908839,1.2114661046028783,9,5.18
3.0795099899179226,1.0240347425036371,9,5.03
3.14066689107147,0.93004498203901,9,5.29
2.9076756204720273,0.7317646091784787,9,4.8
2.9232709203798932,0.7910850167417841,9,5.12
3.0375416425927715,0.8481301237906727,9,5.32
3.1644939869358173,0.9079053537754912,9,5.24
2.8349195537984593,0.7737316540938011,9,4.62
3.004248583991669,0.7516029847594035,9,5.23
3.210258553989369,1.2809836839298403,9,6.06
3.3800756877982283,1.5174338822721847,9,6.13
2.99793999274856,1.1007824353495528,9,6.26
3.1833744108954933,1.3879409693803577,9,5.75
3.0639202164345627,1.0601767793411851,9,5.27
3.0352866252704103,1.0238128465896634,9,5.66
3.099318319608563,0.9609915161846118,9,4.64
2.989271605122828,1.0243883355518264,9,5.06
3.2093568965944437,1.2136944861945544,9,4.89
3.068574257322116,1.2061672678949702,9,4.61
3.09933685804571,1.1045357057095138,9,5.27
3.191199368504173,1.2114522848683003,9,6.0
3.164252269407445,1.325591608980474,9,5.93
3.19622778823736,1.2519400827638696,9,5.93
3.194340250018547,1.2395663445313303,9,6.03
3.1087715086899417,1.3933384872082615,9,6.36
3.1628896456222657,1.422757117589029,9,5.98
3.346951059994426,1.3861834165120948,9,5.95
3.0884479341409685,1.2100146611589377,9,5.58
3.231493299190107,1.352619987945409,9,5.72
3.2607830643888414,1.1716262998276574,9,6.03
3.041906803556143,0.9564119313392846,9,5.64
3.1772028297169244,1.1686512874873567,9,6.33
3.0735715151476444,1.059219252697469,9,5.89
2.9462756440745066,1.040385994970738,9,5.79
3.0404499519855572,1.0055977909949916,9,5.54
3.156688872095191,1.1890879540782515,9,5.46
2.9856606863812436,0.8968468878886802,9,5.5
3.02091189390648,1.1099603013260577,9,5.68
3.097920079965485,1.1026294659815052,9,5.56
3.1497468505637003,0.8869371248815551,9,5.01
3.0716715648000967,0.839723908519819,9,5.05
3.0302756770346835,0.8566738232862516,9,4.87
3.025349412821992,1.0547656424939098,9,4.29
3.1468646496112958,0.968742399367622,9,5.42
3.189653926723511,0.9770122441678543,9,5.33
3.0808533265497484,0.7615909488362592,9,5.2
3.2720808666850796,1.104515607926621,9,4.97
3.103085817626103,1.108844254963129,9,4.51
3.065597857545288,1.0213668303069692,9,4.91
3.1385696754700803,1.0022239481611845,9,5.23
3.1343603419661137,0.948484036154541,9,4.99
3.2277946187723265,1.2145996387095395,9,4.79
3.0876466205361774,0.9984799405210942,9,5.03
3.1257846230163855,0.9401071600605011,9,4.93
3.116310652120873,0.8246787972771629,9,4.87
3.014444053999951,0.8100541116230818,9,5.11
2.9657568466585578,0.8763262759954897,9,4.55
3.335540854397346,1.200565605813602,9,4.62
3.24889472715787,1.2441144390590844,9,4.91
3.257682697846253,1.2685451992455534,9,5.15
3.061828626043853,0.951857428277482,9,4.71
3.1458852542990403,1.1983080063082012,9,5.56
3.1567632933863985,1.059877871387843,9,5.47
3.2164445986628536,1.221930096322733,9,5.32
3.1107966769374698,1.1780972127906926,9,4.78
3.156918684493724,1.0172174875794704,9,5.07
3.187536034142492,1.3918340276737418,9,5.58
3.0297080952709714,0.8662714163425961,9,4.97
3.1331162099485024,0.9736748941455781,9,5.3
3.0189288723355907,0.7616995197982803,9,5.26
3.1975431686981843,1.100604815863982,9,5.43
3.086250750564163,0.8443887948287985,9,5.03
2.942649141530234,0.8180493642083361,9,5.05
3.1466885772577324,1.1295406537495825,9,5.05
3.0022269973716966,0.7308037106926443,9,4.93
3.011871488033416,0.7955603485416394,9,4.98
2.954764556944016,0.6609742691036576,9,5.47
3.0681119405666206,0.9281672057139618,9,5.09
3.131236864084798,0.9226622097852323,9,5.12
3.04751158163672,0.945225022469987,9,4.63
